input,result
Is there a way to return an order that was delivered late and is no longer needed?,returns
Can I return the product since it doesn't match the description?,returns
The product doesn't match what was described. Is it possible to return it?,returns
Is there a way to return a product that doesn't match its description?,returns
"The item isn't functioning properly, can I return it?",returns
I want to return the product because it's not performing as it should.,returns
"Since the product isn't working as it should, I'd like to initiate a return.",returns
I was dissatisfied with the support I received. Who should I contact about this issue?,complaints
The customer service I encountered was unsatisfactory. Who can I speak with regarding this?,complaints
I am unhappy with the service I got from your customer support. Who is the right person to address this with?,complaints
My product stopped working only a week after I bought it. What steps can I take to fix this issue?,complaints
The product I purchased malfunctioned within a week. How do I resolve this problem?,complaints
I experienced a breakdown of my product only a week post-purchase. How can I address this situation?,complaints
I'm dissatisfied with the service I got. Can you tell me who I should speak to about this?,complaints
The service I received wasn't satisfactory. Who can I address my complaint to?,complaints
Who is the right person to talk to if I'm unhappy with the service I received?,complaints
I need assistance with an issue regarding my order's delivery. Who should I contact?,complaints
Who is the right person to talk to about a delivery problem with my order?,complaints
Who can help me with a delivery issue for my order?,complaints
I got a defective item. Who should I contact to file a complaint?,complaints
Who is the right person to talk to about this faulty product I received?,complaints
I need to know whom to reach out to regarding the defective product I was sent.,complaints
I need to report an issue with an employee. Who is the right person to speak with?,complaints
Who should I reach out to regarding a problem I have with a staff member?,complaints
Could you tell me who to contact for filing a complaint about someone on your team?,complaints
An item was not included in my order. Who should I contact for help?,complaints
"I received my order, but one item was missing. Can you tell me who I should talk to about this?",complaints
There was an item missing from my order. Could you let me know whom to speak with regarding this issue?,complaints
Can you explain the reasons behind the recent price hike for your product?,pricing
What has caused the recent increase in the price of your product?,pricing
Could you clarify why the price of your product went up recently?,pricing
I've seen the same product at a lower price somewhere else. Can you match that price?,pricing
Do you offer price matching if I find a similar item for less money at another store?,pricing
"If I find a comparable product for a cheaper price at another retailer, will you match their price?",pricing
Can you explain why there's a price discrepancy between your online and physical store items?,pricing
What causes the price variation between your online and in-store merchandise?,pricing
Could you clarify why the prices differ for products bought online versus in-store?,pricing
Could you provide details on the costs of your subscription service?,pricing
Would you mind clarifying how much your subscription service costs?,pricing
Can you give me information on the pricing for your subscription service?,pricing
Is there a discount available for buying in bulk?,pricing
Can I get a reduced rate if I purchase a large quantity?,pricing
Are lower prices provided when ordering in bulk?,pricing
Can you explain why the product costs differently in my country?,pricing
What causes the product's price to vary in my country?,pricing
Why does the price of the item change depending on the country?,pricing
Can you tell me if you offer a price match guarantee?,pricing
Do you have any policies regarding price guarantees?,pricing
Is there a price guarantee policy that you provide?,pricing
Can you explain why the price of the item in my shopping cart has changed?,pricing
What caused the price of the item I'm purchasing to be different now?,pricing
Could you tell me why the cost of the item in my cart is now different?,pricing
