input,result
Can I return onlin purchases to a physical store location?,returns
Can I return nline purchses to a physical store location?,returns
Can I return online purchses to a physical store location?,returns
The product I orderd is not what I received. How can I return it?,returns
The prduct I ordered is not what I receved. How can I return it?,returns
The prodct I ordered is not what I received. How can I return it?,returns
I received my rder late and no longer need it. Can I return it?,returns
I rceived my order late and no longer need it. Can I return it?,returns
I received my order late and no lnger need it. Can I retrn it?,returns
The item I bought is fault. How do I return it?,returns
The item I bught is fulty. How do I return it?,returns
The item I boght is falty. How do I return it?,returns
"The product is not working as expected, I'd like to retrn it?",returns
"The product is not workng as expected, I'd like to return it?",returns
"The prodct is not working as expected, I'd like to return it?",returns
I want to return a gift I received. How can I do that withot the receipt?,returns
I want to return a gift I receivd. How can I do that without the receipt?,returns
I want to return a gift I received. How can I do that without the rceipt?,returns
The prodct I ordered doesn't match the dscription. Can I return it?,returns
The product I ordered doesn't mtch the description. Can I return it?,returns
The prduct I ordered doesn't match the dscription. Can I return it?,returns
My prodct brke after just a week of use. How can this issue be resolved?,complaints
My product brok after just a week of use. How can this issue be resolved?,complaints
My product broke aftr just a week of use. How can this isse be resolved?,complaints
How can I provide detailed fedback about the srvice I received?,complaints
How can I provide detailed fedback abot the service I received?,complaints
How can I provde detailed feedback about the service I received?,complaints
I'm not satisfied with the qalit of the product. Can I return it?,returns
I'm not satisfied with the quality of the product. Can I rturn it?,returns
I'm not stisfied with the quality of the product. Can I return it?,returns
I have a problm with the deliver of my order. Who can I speak to?,complaints
I have a problem with the delivery of my rdr. Who can I speak to?,complaints
I have a prblem with the delivery of my order. Who can I speak to?,complaints
I received a faulty product. Who can I complan to?,complaints
I receved a faulty prodct. Who can I complain to?,complaints
I received a fault product. Who can I complan to?,complaints
I'm not happy with the service I received. Who can I complan to?,complaints
I'm not happy with the service I received. Who can I complin to?,complaints
I'm not happy with the service I receivd. Who can I complain to?,complaints
I have a complant about a staff member. Who should I contact?,complaints
I have a cmplaint about a stff member. Who should I contact?,complaints
I have a complaint about a staff member. Who should I cntact?,complaints
Why has the price of your product ncreased recently?,pricing
Why has the price of your prduct ncreased recently?,pricing
Why has the price of your product incrsed recently?,pricing
I had a poor xperience with your customer service. Who can I talk to bout this?,complaints
I had a poor experience with your custmer service. Who can I talk to about this?,complaints
I had a poor experience with your customer service. Who can I talk to bout this?,complaints
Can you explin the pricng of your subscription service?,pricing
Can you explain the pricing of your sbscriptin service?,pricing
Can you explan the pricing of your subscription service?,pricing
Do you have a prce guarantee polic?,pricing
Do you have a price gurante policy?,pricing
Do you have a price guarante policy?,pricing
My order was missing an item. Who can I spak to about this?,complaints
My order was missing an item. Who can I speak to bout this?,complaints
My ordr was missing an item. Who can I spek to about this?,complaints
Why is the price of the product different in my contry?,pricing
Why is the pric of the prodct different in my country?,pricing
Why is the price of the prduct dfferent in my country?,pricing
Do you ffer a lower price for bulk prchases?,pricing
Do you offer a lwer price for bulk purchases?,pricing
Do you ffer a lower price for bulk purchases?,pricing
Why did the pric of the item in my cart change?,pricing
Why did the price of the item in my cart chnge?,pricing
Why did the price of the item in my cart chang?,pricing
I found a similar prodct cheaper elsewhere. Do you offer price matching?,pricing
I found a similar product cheaper elsewher. Do you offer price matching?,pricing
I found a similar product cheaper elsewhere. Do you offer price matchng?,pricing
Why is there a difference in price between your online and in-stor products?,pricing
Why is there a difference in price betwen your online and instore products?,pricing
Why is there a differnce in price between your onlin and in-store products?,pricing
